id,visit_date_time
234,"2023-04-25 16:14:25.951704"
235,"2023-04-25 16:16:57.242686"
236,"2023-04-25 16:17:52.487243"
237,"2023-04-25 16:21:54.500689"
238,"2023-04-25 16:21:58.952178"
239,"2023-04-25 16:25:03.009256"
240,"2023-04-25 16:27:13.143218"
241,"2023-04-25 16:32:03.405077"
242,"2023-04-25 16:32:06.323289"
243,"2023-04-25 16:32:08.498339"
244,"2023-04-25 16:32:12.413819"
245,"2023-04-25 16:32:13.441966"
246,"2023-04-25 16:32:14.309240"
247,"2023-04-25 16:32:16.602808"
248,"2023-04-25 16:34:17.449793"
249,"2023-04-25 16:34:21.947187"
250,"2023-04-25 16:34:22.863430"
251,"2023-04-25 16:34:23.583080"
252,"2023-04-25 16:34:23.917209"
253,"2023-04-25 16:38:17.559509"
254,"2023-04-25 16:44:19.324647"
255,"2023-04-25 16:46:07.934368"
256,"2023-04-25 16:46:22.990028"
257,"2023-04-25 16:46:52.676943"
258,"2023-04-25 16:47:00.463236"
259,"2023-04-25 16:53:02.453998"
260,"2023-04-25 16:53:02.836218"
261,"2023-04-25 16:54:26.872574"
262,"2023-04-25 16:59:27.807068"
263,"2023-04-25 16:59:28.673676"
264,"2023-04-25 17:00:30.169880"
265,"2023-04-25 17:00:35.451318"
266,"2023-04-25 17:00:35.944477"
267,"2023-04-25 17:02:22.318441"
268,"2023-04-25 17:02:22.653487"
269,"2023-04-25 17:02:26.686095"
270,"2023-04-25 17:07:53.728133"
271,"2023-04-25 17:09:08.501669"
272,"2023-04-26 08:58:11.994157"
273,"2023-04-26 08:58:21.510128"
274,"2023-04-26 08:59:33.491978"
275,"2023-04-26 08:59:54.936197"
276,"2023-04-26 09:00:02.403138"
277,"2023-04-26 09:00:15.583984"
278,"2023-04-26 09:00:21.982503"
279,"2023-04-26 09:00:26.847391"
280,"2023-04-26 09:01:17.264462"
281,"2023-04-26 09:02:43.871405"
282,"2023-04-26 09:04:43.866937"
283,"2023-04-26 09:04:46.005337"
284,"2023-04-26 09:04:48.283094"
285,"2023-04-26 09:04:50.826917"
286,"2023-04-26 10:07:14.652726"
287,"2023-04-26 10:07:24.109654"
288,"2023-04-26 10:08:00.908502"
289,"2023-04-26 10:11:01.921341"
290,"2023-04-26 10:11:04.304044"
291,"2023-04-26 10:14:00.066251"
292,"2023-04-26 10:14:02.656401"
293,"2023-04-26 10:14:04.800524"
294,"2023-04-26 10:14:08.154975"
295,"2023-04-26 10:14:10.090798"
296,"2023-04-26 10:15:55.713779"
297,"2023-04-26 10:16:16.876556"
298,"2023-04-26 10:16:23.241301"
299,"2023-04-26 10:16:33.790532"
300,"2023-04-26 10:16:37.058947"
301,"2023-04-26 10:16:40.247321"
302,"2023-04-26 10:18:59.826159"
